"id","attributes","description","image_urls","price","product_id","product_name","stock","category_id","version"
"14","{""os"": ""macOS Sonoma"", ""ram"": ""16GB Unified Memory"", ""brand"": ""Apple"", ""model"": ""MacBook Air 13\"" M3"", ""storage"": ""512GB SSD"", ""processor"": ""Apple M3 (8-core CPU, 10-core GPU)"", ""formFactor"": ""Laptop"", ""screenSize"": ""13.6 inches""}","The world's most popular laptop is better than ever with the M3 chip. Strikingly thin, incredible battery life up to 18 hours, and a gorgeous Liquid Retina display built for portable performance.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+MacBook+Air+13-inch+(M3)/Apple+MacBook+Air+13-inch+(M3)+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+MacBook+Air+13-inch+(M3)/Apple+MacBook+Air+13-inch+(M3)+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+MacBook+Air+13-inch+(M3)/Apple+MacBook+Air+13-inch+(M3)+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+MacBook+Air+13-inch+(M3)/Apple+MacBook+Air+13-inch+(M3)+4.jpeg""]","49999.00","n77crVSawIDa69e","Apple MacBook Air 13-inch (M3)",83,"2","1"
"15","{""os"": ""macOS Sonoma"", ""ram"": ""18GB Unified Memory"", ""brand"": ""Apple"", ""model"": ""MacBook Pro 14\"" M3 Pro"", ""storage"": ""512GB SSD"", ""processor"": ""Apple M3 Pro (11-core CPU, 14-core GPU)"", ""formFactor"": ""Laptop"", ""screenSize"": ""14.2 inches""}","A powerhouse laptop for creative professionals and developers. Features the advanced M3 Pro chip, a breathtaking Liquid Retina XDR display, and an array of pro ports.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+MacBook+Pro+14-inch+(M3+Pro)/Apple+MacBook+Pro+14-inch+(M3+Pro)+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+MacBook+Pro+14-inch+(M3+Pro)/Apple+MacBook+Pro+14-inch+(M3+Pro)+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+MacBook+Pro+14-inch+(M3+Pro)/Apple+MacBook+Pro+14-inch+(M3+Pro)+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+MacBook+Pro+14-inch+(M3+Pro)/Apple+MacBook+Pro+14-inch+(M3+Pro)+4.jpeg""]","96499.00","4MMhi0RbITCQHss","Apple MacBook Pro 14-inch (M3 Pro)",40,"2","1"
"16","{""os"": ""Windows 11 Home"", ""gpu"": ""NVIDIA GeForce RTX 4070 8GB"", ""ram"": ""32GB LPDDR5X"", ""brand"": ""ASUS"", ""model"": ""ROG Zephyrus G14"", ""storage"": ""1TB NVMe PCIe 4.0 SSD"", ""processor"": ""AMD Ryzen 9 8945HS"", ""formFactor"": ""Gaming Laptop"", ""screenSize"": ""14.0 inches""}","The pinnacle of portable gaming. Features a stunning 120Hz ROG Nebula OLED display, premium aluminum chassis, and incredible gaming performance in a highly portable 14-inch frame.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/ASUS+ROG+Zephyrus+G14+(2025)/ASUS+ROG+Zephyrus+G14+(2025)+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/ASUS+ROG+Zephyrus+G14+(2025)/ASUS+ROG+Zephyrus+G14+(2025)+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/ASUS+ROG+Zephyrus+G14+(2025)/ASUS+ROG+Zephyrus+G14+(2025)+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/ASUS+ROG+Zephyrus+G14+(2025)/ASUS+ROG+Zephyrus+G14+(2025)+4.jpeg""]","84999.00","1cqqb9Zs26kPumZ","ASUS ROG Zephyrus G14 (2025)",30,"2","1"
"17","{""os"": ""Windows 11 Pro"", ""gpu"": ""Intel Arc Graphics"", ""ram"": ""16GB LPDDR5X"", ""brand"": ""Dell"", ""model"": ""XPS 13 9340"", ""storage"": ""1TB M.2 PCIe SSD"", ""processor"": ""Intel Core Ultra 7 155H"", ""formFactor"": ""Laptop"", ""screenSize"": ""13.4 inches""}","Dell's iconic premium ultraportable laptop. Crafted with machined aluminum and glass, a seamless haptic touchpad, and powered by Intel Core Ultra processors with dedicated AI acceleration.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Dell+XPS+13+(9340)/Dell+XPS+13+(9340)+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Dell+XPS+13+(9340)/Dell+XPS+13+(9340)+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Dell+XPS+13+(9340)/Dell+XPS+13+(9340)+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Dell+XPS+13+(9340)/Dell+XPS+13+(9340)+4.jpeg""]","68500.00","TnG2mG0A28HjqCv","Dell XPS 13 (9340)",50,"2","1"
"18","{""os"": ""Windows 11 Pro"", ""gpu"": ""Intel Graphics"", ""ram"": ""32GB LPDDR5X"", ""brand"": ""Lenovo"", ""model"": ""ThinkPad X1 Carbon Gen 12"", ""storage"": ""1TB PCIe NVMe SSD"", ""processor"": ""Intel Core Ultra 7 165U"", ""formFactor"": ""Business Laptop"", ""screenSize"": ""14.0 inches""}","The ultimate business laptop. Built with carbon fiber for legendary durability, featuring the iconic TrackPoint, advanced enterprise security, and optimized for hybrid work.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Lenovo+ThinkPad+X1+Carbon+Gen+12/Lenovo+ThinkPad+X1+Carbon+Gen+12+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Lenovo+ThinkPad+X1+Carbon+Gen+12/Lenovo+ThinkPad+X1+Carbon+Gen+12+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Lenovo+ThinkPad+X1+Carbon+Gen+12/Lenovo+ThinkPad+X1+Carbon+Gen+12+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Lenovo+ThinkPad+X1+Carbon+Gen+12/Lenovo+ThinkPad+X1+Carbon+Gen+12+4.jpeg""]","89000.00","Ruipb8tRIu9I2Ld","Lenovo ThinkPad X1 Carbon Gen 12",25,"2","1"
"19","{""os"": ""Windows 11 Home"", ""gpu"": ""NVIDIA GeForce RTX 4060 8GB"", ""ram"": ""16GB DDR5"", ""brand"": ""Lenovo"", ""model"": ""Legion Pro 5 16\"""", ""storage"": ""1TB NVMe SSD"", ""processor"": ""Intel Core i7-14700HX"", ""formFactor"": ""Gaming Laptop"", ""screenSize"": ""16.0 inches""}","Engineered for competitive esports gaming. Powered by Lenovo AI Engine+ to optimize frame rates, paired with a high-refresh-rate 165Hz WQXGA display and robust thermal cooling.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Lenovo+Legion+Pro+5+16IRX9/Lenovo+Legion+Pro+5+16IRX9+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Lenovo+Legion+Pro+5+16IRX9/Lenovo+Legion+Pro+5+16IRX9+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Lenovo+Legion+Pro+5+16IRX9/Lenovo+Legion+Pro+5+16IRX9+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Lenovo+Legion+Pro+5+16IRX9/Lenovo+Legion+Pro+5+16IRX9+4.jpeg""]","62499.00","m9heiykXYZeHX81","Lenovo Legion Pro 5 16IRX9",65,"2","1"
"20","{""os"": ""FreeDOS"", ""gpu"": ""NVIDIA GeForce RTX 4050 6GB"", ""ram"": ""16GB DDR5"", ""brand"": ""HP"", ""model"": ""Victus 16"", ""storage"": ""512GB PCIe Gen4 SSD"", ""processor"": ""Intel Core i5-14500HX"", ""formFactor"": ""Gaming Laptop"", ""screenSize"": ""16.1 inches""}","An excellent price-to-performance entry into modern PC gaming. Keeps its cool under pressure with an upgraded thermal system, wrapped in a sleek, minimalist design suitable for school or gaming.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/HP+Victus+16-r1000nt/HP+Victus+16-r1000nt+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/HP+Victus+16-r1000nt/HP+Victus+16-r1000nt+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/HP+Victus+16-r1000nt/HP+Victus+16-r1000nt+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/HP+Victus+16-r1000nt/HP+Victus+16-r1000nt+4.jpeg""]","38999.00","0Wd7kVT8SksFSK3","HP Victus 16-r1000nt",110,"2","1"
"21","{""os"": ""macOS Sonoma"", ""ram"": ""8GB Unified Memory"", ""brand"": ""Apple"", ""model"": ""iMac 24\"" M3"", ""storage"": ""256GB SSD"", ""processor"": ""Apple M3 (8-core CPU, 10-core GPU)"", ""formFactor"": ""All-in-One Desktop"", ""screenSize"": ""23.5 inches""}","The ultimate all-in-one desktop computer, now supercharged by the M3 chip. Strikingly thin design in vibrant colors, a stunning 4.5K Retina display, and best-in-class camera, mics, and speakers.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+iMac+24-inch+(M3)/Apple+iMac+24-inch+(M3)+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+iMac+24-inch+(M3)/Apple+iMac+24-inch+(M3)+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+iMac+24-inch+(M3)/Apple+iMac+24-inch+(M3)+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/Apple+iMac+24-inch+(M3)/Apple+iMac+24-inch+(M3)+4.jpeg""]","67999.00","WlolO2R8mhmYBzK","Apple iMac 24-inch (M3)",20,"2","1"
"22","{""os"": ""Windows 11 Home"", ""gpu"": ""NVIDIA GeForce RTX 4070 Super 12GB"", ""ram"": ""32GB DDR5"", ""brand"": ""MSI"", ""model"": ""Aegis 14th Gen"", ""storage"": ""2TB M.2 NVMe SSD"", ""processor"": ""Intel Core i7-14700F"", ""formFactor"": ""Desktop Tower"", ""screenSize"": ""N/A (Tower Only)""}","A high-performance pre-built gaming desktop PC. Housed in a custom mid-tower case with optimized airflow, ARGB lighting, and cutting-edge hardware built to handle AAA gaming and streaming.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/MSI+Aegis+14th/MSI+Aegis+14th+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/MSI+Aegis+14th/MSI+Aegis+14th+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/MSI+Aegis+14th/MSI+Aegis+14th+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/MSI+Aegis+14th/MSI+Aegis+14th+4.jpeg""]","79500.00","pdm5QZB9n9wkydn","MSI Aegis 14th",15,"2","1"
"23","{""os"": ""Windows 11 Home"", ""gpu"": ""AMD Radeon Graphics"", ""ram"": ""8GB LPDDR5"", ""brand"": ""ASUS"", ""model"": ""Vivobook 15 OLED"", ""storage"": ""512GB PCIe NVMe SSD"", ""processor"": ""AMD Ryzen 5 7520U"", ""formFactor"": ""Laptop"", ""screenSize"": ""15.6 inches""}","Feature-rich everyday laptop that stands out with its exceptional, vibrant Full HD OLED display. Perfect for productivity, media consumption, and casual creativity on a budget.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/ASUS+Vivobook+15+OLED/ASUS+Vivobook+15+OLED+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/ASUS+Vivobook+15+OLED/ASUS+Vivobook+15+OLED+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/ASUS+Vivobook+15+OLED/ASUS+Vivobook+15+OLED+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Computers/ASUS+Vivobook+15+OLED/ASUS+Vivobook+15+OLED+4.jpeg""]","24500.00","FLx9vMUvcEic8wB","ASUS Vivobook 15 OLED",140,"2","1"
"24","{""brand"": ""Apple"", ""model"": ""Watch Ultra 2"", ""caseSize"": ""49mm"", ""deviceType"": ""Smartwatch"", ""batteryLife"": ""Up to 36 hours"", ""connectivity"": ""GPS + Cellular"", ""compatibility"": ""iOS"", ""waterResistance"": ""100m""}","The ultimate sports and adventure watch. Features a rugged titanium case, up to 36-hour battery life, a stunningly bright Always-On Retina display, and precision dual-frequency GPS.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Wearable+Tech/Apple+Watch+Ultra+2/Apple+Watch+Ultra+2+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Wearable+Tech/Apple+Watch+Ultra+2/Apple+Watch+Ultra+2+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Wearable+Tech/Apple+Watch+Ultra+2/Apple+Watch+Ultra+2+3.jpeg""]","42999.00","hZxUP52Wli9pMoX","Apple Watch Ultra 2",33,"3","1"
"25","{""brand"": ""Apple"", ""model"": ""Watch Series 10"", ""caseSize"": ""46mm"", ""deviceType"": ""Smartwatch"", ""batteryLife"": ""Up to 18 hours"", ""connectivity"": ""GPS"", ""compatibility"": ""iOS"", ""waterResistance"": ""50m""}","The thinnest Apple Watch yet with the largest display area. Includes advanced health insights like sleep apnea notifications, faster charging, and a beautiful wide-angle OLED display.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Wearable+Tech/Apple+Watch+Series+10/Apple+Watch+Series+10+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Wearable+Tech/Apple+Watch+Series+10/Apple+Watch+Series+10+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Wearable+Tech/Apple+Watch+Series+10/Apple+Watch+Series+10+3.jpeg""]","19499.00","fM2lIpE8yw8Ls9f","Apple Watch Series 10",75,"3","1"
"26","{""brand"": ""Samsung"", ""model"": ""Galaxy Watch 7"", ""caseSize"": ""44mm"", ""deviceType"": ""Smartwatch"", ""batteryLife"": ""Up to 40 hours"", ""connectivity"": ""Bluetooth / Wi-Fi"", ""compatibility"": ""Android"", ""waterResistance"": ""50m (IP68 / 5ATM)""}","Powered by a 3nm processor and Galaxy AI, this smartwatch delivers highly accurate tracking for workouts, sleep, and metabolic health via the upgraded BioActive Sensor.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Wearable+Tech/Samsung+Galaxy+Watch+7/Samsung+Galaxy+Watch+7+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Wearable+Tech/Samsung+Galaxy+Watch+7/Samsung+Galaxy+Watch+7+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Wearable+Tech/Samsung+Galaxy+Watch+7/Samsung+Galaxy+Watch+7+3.jpeg""]","10999.00","WmH4m8yjROcSdhD","Samsung Galaxy Watch 7",90,"3","1"
